backers,category,currency,description,goal,main_category,names,pledged,proj_details,status
3,publishing|literary journals,,"Pioneering 100 filled with perspectives and experiences of pioneering investors, entrepreneurs and students who are changing the",,publishing,Pioneering 100: 100 voices in HK startup ecosystem,,"
					Backers: 3,
					Funding: HK$120 of HK$200,000 (,0% funded,),
					Campaign Dates: March 1st -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
20,technology|hardware,€,Comfortable & robust gaming chair lets you physically feel sound in 3 dimensions directly on your body,89200,technology,SenseForce Chair-Extreme,9434,"
					Backers: 20,
					Funding: €9,434 of €89,200 (,10% funded,),
					Campaign Dates: March 20th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
23,food|vegan,$,"Our Mission: To Launch our Vegan, All-Natural, Preservative-Free Salsa! Made with Cilantro, Avocados, Lime Juice, Garlic & Jalapenos!",10000,food,Diablo Vegan Cilantro Sauce,921,"
					Backers: 23,
					Funding: $921 of $10,000 (,9% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Cancelled
62,,$,An animated short about a dog's undying love.,2600,film & video,DOG DAYS | Animated Short Film,2791,"
					Backers: 62,
					Funding: $2,791 of $2,600 (,107% funded,),
					Campaign Dates: March 27th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
1,design|product design,€,Sportliche Anbauteile für Elektroautos.,13800,design,MR - Performance Parts für Elektroautos,1,"
					Backers: 1,
					Funding: €1 of €13,800 (,0% funded,),
					Campaign Dates: April 6th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
9,food|food trucks,$,A Food Truck Bakery,3500,food,The Crazy Box Bakery Food Truck,117,"
					Backers: 9,
					Funding: $117 of $3,500 (,3% funded,),
					Campaign Dates: February 26th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
21,games|tabletop games,€,A puzzle game for 1 to 2 players.,5,games,Cross 6,34,"
					Backers: 21,
					Funding: €34 of €5 (,680% funded,),
					Campaign Dates: April 23rd -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
60,games|video games,€,"An ambitious cross-platform survival horror VR game, taking place in the city of Paris.",65000,games,Project TERMINUS VR,2817,"
					Backers: 60,
					Funding: €2,817 of €65,000 (,4% funded,),
					Campaign Dates: March 17th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
4,,€,"Rejoignez notre ""Comité des Idées"" pour donner votre avis sur les illustrations, tester le background, apporter votre expérience...!",10,games,"🚀Devenez ""Ambassadeurs"" d'un nouveau jeu de société🚀",4,"
					Backers: 4,
					Funding: €4 of €10 (,40% funded,),
					Campaign Dates: April 6th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
2683,games|tabletop games,$,Clips that help keep your board game boards together.  Great for multi-board games and boards that don't like to stay put!,250,games,Board Game Clips,54240,"
					Backers: 2683,
					Funding: $54,240 of $250 (,21696% funded,),
					Campaign Dates: March 17th -> April 26th (2020),
					Closed: Sunday April 26th, 2020,
				",Closed
